iter	Logloss
300	0.5292331691
301	0.529180762
302	0.5291423067
303	0.5290716426
304	0.5290077013
305	0.5289830152
306	0.5289522361
307	0.5289092385
308	0.5288533515
309	0.5288257797
310	0.5287873908
311	0.5287452385
312	0.5287078902
313	0.5286669019
314	0.5286339395
315	0.5286102588
316	0.5285580886
317	0.528519928
318	0.528470094
319	0.528442162
320	0.528428335
321	0.5283976392
322	0.5283621614
323	0.5283453898
324	0.528320899
325	0.5282945474
326	0.5282460791
327	0.5282226427
328	0.5281866414
329	0.5281570524
330	0.5281237572
331	0.5280793325
332	0.5280365357
333	0.5280218494
334	0.5279803942
335	0.5279450398
336	0.5279173941
337	0.5278785993
338	0.5278461336
339	0.5278170291
340	0.5277815481
341	0.527741679
342	0.5277086924
343	0.5276972151
344	0.5276578055
345	0.527632185
346	0.5275986372
347	0.5275802787
348	0.5275451071
349	0.5275163183
350	0.527494913
351	0.5274664158
352	0.5274363041
353	0.5274207626
354	0.5273970338
355	0.527349809
356	0.5273240937
357	0.5272997125
358	0.5272540226
359	0.5272251626
360	0.5271938213
361	0.5271808395
362	0.527151656
363	0.5271321432
364	0.5270910601
365	0.5270655646
366	0.5270301197
367	0.5269971646
368	0.5269615203
369	0.5269123861
370	0.5268970214
371	0.5268569504
372	0.5268344263
373	0.526814604
374	0.5267818024
375	0.5267487695
376	0.5267083582
377	0.5266861914
378	0.5266451047
379	0.5266248521
380	0.5266051261
381	0.5265743112
382	0.5265205755
383	0.5264875814
384	0.5264599915
385	0.5264402095
386	0.5264059029
387	0.5263721976
388	0.5263518252
389	0.5263441606
390	0.5263165194
391	0.5263035985
392	0.5262734113
393	0.5262495742
394	0.5262237109
395	0.5262008089
396	0.526168306
397	0.5261437511
398	0.5261140649
399	0.5260613909
400	0.5260376374
401	0.5259988084
402	0.5259830011
403	0.5259647012
404	0.5259301483
405	0.5258973634
406	0.5258631919
407	0.5258350518
408	0.5258014404
409	0.5257675586
410	0.5257359442
411	0.5257000997
412	0.5256465012
413	0.5256383938
414	0.525596663
415	0.5255571412
416	0.5255319026
417	0.5254999915
418	0.5254758507
419	0.5254402779
420	0.5254090617
421	0.5253741768
422	0.5253501442
423	0.5253290705
424	0.5252940512
425	0.5252408476
426	0.5252079843
427	0.5251807967
428	0.5251578143
429	0.5251428104
430	0.5250966472
431	0.5250564644
432	0.5250082074
433	0.5249796722
434	0.5249404773
435	0.5249130315
436	0.5248745726
437	0.5248668117
438	0.5248323021
439	0.5248081662
440	0.5247868806
441	0.5247480558
442	0.5247237726
443	0.5246916627
444	0.5246524648
445	0.5246212409
446	0.5245900267
447	0.5245407269
448	0.5245099405
449	0.5244884633
